STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Bridge Enclosed,,"MULTIPOLYGON (((-114.07080889313872 51.049728013024975, -114.07080881604995 51.04970458134886, -114.0708266368937 51.04945415361581, -114.07082872094578 51.04942446827375, -114.07087214510548 51.0494256879278, -114.07090200690321 51.0494265400229, -114.07089991607448 51.04945549270762, -114.07087986635091 51.049730150016124, -114.07080889313872 51.049728013024975",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07080889313872 51.049728013024975, -114.07080881604995 51.04970458134886, -114.0708266368937 51.04945415361581, -114.07082872094578 51.04942446827375, -114.07087214510548 51.0494256879278, -114.07090200690321 51.0494265400229, -114.07089991607448 51.04945549270762, -114.07087986635091 51.049730150016124, -114.07080889313872 51.049728013024975"
Enclosed,,"MULTIPOLYGON (((-114.06333425339423 51.04945936422156, -114.06341047865486 51.04946156043643, -114.06351974049191 51.049464714038066, -114.0635147953369 51.049499809023104, -114.06343878121514 51.049497706254826, -114.06343480761822 51.04956857352855, -114.06342162370969 51.04973147632661, -114.06347276201103 51.049771044716586, -114.06398411369047 51.049787533550266, -114.06397855003644 51.04986001446641, -114.06397235999593 51.04985983716097, -114.06397045917562 51.04988803178079, -114.063924983623 51.04988663987985, -114.06392035086282 51.04995163094202, -114.06404919236918 51.04995530283434, -114.06411916321795 51.0499555458497, -114.06411986322125 51.04994501939536, -114.06412699457886 51.04994519527756, -114.06412882498833 51.049916686952635, -114.06417355179177 51.04991806570079, -114.06417383356745 51.04991452359395, -114.0646028034404 51.049926375770234, -114.06460245256287 51.04993045729986, -114.06464682427556 51.04993184415392, -114.06465388803282 51.04983122183656, -114.0648673901736 51.04983730555575, -114.06486388158763 51.04988727689654, -114.064914397795 51.04988892633491, -114.06491200691188 51.04992731469274, -114.06475941270895 51.04992233362635, -114.06475685251974 51.04995804403514, -114.0647085986157 51.04995666926086, -114.06470636578726 51.049987833382595, -114.06464961692589 51.04998621696792, -114.06464691674205 51.0500238782219, -114.06411728354468 51.050008291401774, -114.06404829548583 51.05000715966182, -114.06382525894396 51.05000046295803, -114.06383686282278 51.04983765897272, -114.06330119518437 51.04982023425018, -114.06330264329391 51.04977247104979, -114.06332572433205 51.04945911623148, -114.06333425339423 51.04945936422156",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06333425339423 51.04945936422156, -114.06341047865486 51.04946156043643, -114.06351974049191 51.049464714038066, -114.0635147953369 51.049499809023104, -114.06343878121514 51.049497706254826, -114.06343480761822 51.04956857352855, -114.06342162370969 51.04973147632661, -114.06347276201103 51.049771044716586, -114.06398411369047 51.049787533550266, -114.06397855003644 51.04986001446641, -114.06397235999593 51.04985983716097, -114.06397045917562 51.04988803178079, -114.063924983623 51.04988663987985, -114.06392035086282 51.04995163094202, -114.06404919236918 51.04995530283434, -114.06411916321795 51.0499555458497, -114.06411986322125 51.04994501939536, -114.06412699457886 51.04994519527756, -114.06412882498833 51.049916686952635, -114.06417355179177 51.04991806570079, -114.06417383356745 51.04991452359395, -114.0646028034404 51.049926375770234, -114.06460245256287 51.04993045729986, -114.06464682427556 51.04993184415392, -114.06465388803282 51.04983122183656, -114.0648673901736 51.04983730555575, -114.06486388158763 51.04988727689654, -114.064914397795 51.04988892633491, -114.06491200691188 51.04992731469274, -114.06475941270895 51.04992233362635, -114.06475685251974 51.04995804403514, -114.0647085986157 51.04995666926086, -114.06470636578726 51.049987833382595, -114.06464961692589 51.04998621696792, -114.06464691674205 51.0500238782219, -114.06411728354468 51.050008291401774, -114.06404829548583 51.05000715966182, -114.06382525894396 51.05000046295803, -114.06383686282278 51.04983765897272, -114.06330119518437 51.04982023425018, -114.06330264329391 51.04977247104979, -114.06332572433205 51.04945911623148, -114.06333425339423 51.04945936422156"
Enclosed,,"MULTIPOLYGON (((-114.06928738566363 51.049708935305084, -114.06935193748313 51.04971075789505, -114.06933523612058 51.04993402946007, -114.06976732351256 51.04994664114144, -114.06987828728084 51.049978426354514, -114.06987661242519 51.05000749743374, -114.06975036113487 51.049972074211055, -114.06927648989519 51.0499588094142, -114.06928738566363 51.049708935305084",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06928738566363 51.049708935305084, -114.06935193748313 51.04971075789505, -114.06933523612058 51.04993402946007, -114.06976732351256 51.04994664114144, -114.06987828728084 51.049978426354514, -114.06987661242519 51.05000749743374, -114.06975036113487 51.049972074211055, -114.06927648989519 51.0499588094142, -114.06928738566363 51.049708935305084"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06928738566363 51.049708935305084, -114.06931025106643 51.04938711559333, -114.06931642109045 51.04938728813308, -114.06931402084867 51.049409307196335, -114.06937323378219 51.04941100978123, -114.06935193748313 51.04971075789505, -114.06928738566363 51.049708935305084",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06928738566363 51.049708935305084, -114.06931025106643 51.04938711559333, -114.06931642109045 51.04938728813308, -114.06931402084867 51.049409307196335, -114.06937323378219 51.04941100978123, -114.06935193748313 51.04971075789505, -114.06928738566363 51.049708935305084"
Open to Sky,,"MULTIPOLYGON (((-114.08049440336212 51.04945283087401, -114.08014266829714 51.049443270176155, -114.08013812737528 51.04950615283788, -114.08013814195019 51.04950716057634, -114.08004719128554 51.049504764208486, -114.08005534428594 51.04937864083735, -114.08058869994069 51.049392829584356, -114.0805802502902 51.049518942409584, -114.08049075861595 51.04951655976459, -114.08049440336212 51.04945283087401",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.08049440336212 51.04945283087401, -114.08014266829714 51.049443270176155, -114.08013812737528 51.04950615283788, -114.08013814195019 51.04950716057634, -114.08004719128554 51.049504764208486, -114.08005534428594 51.04937864083735, -114.08058869994069 51.049392829584356, -114.0805802502902 51.049518942409584, -114.08049075861595 51.04951655976459, -114.08049440336212 51.04945283087401"
Open to Sky,,"MULTIPOLYGON (((-114.07212643078584 51.05004784490206, -114.07216529134449 51.05002593093203, -114.07218068671769 51.04979515065112, -114.07218373776892 51.04974859456805, -114.07218414354287 51.04974264042142, -114.07218436864432 51.049736980350424, -114.07224284576395 51.04973841943597, -114.07222374619948 51.05005041880022, -114.07212643078584 51.05004784490206",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07212643078584 51.05004784490206, -114.07216529134449 51.05002593093203, -114.07218068671769 51.04979515065112, -114.07218373776892 51.04974859456805, -114.07218414354287 51.04974264042142, -114.07218436864432 51.049736980350424, -114.07224284576395 51.04973841943597, -114.07222374619948 51.05005041880022, -114.07212643078584 51.05004784490206"
Bridge Enclosed,,"MULTIPOLYGON (((-114.05890116224938 51.049512041810665, -114.0588444111676 51.04951030481318, -114.05884396599042 51.04949664065279, -114.0588916104926 51.04946896605554, -114.05892299246973 51.04945073705321, -114.05895096606179 51.049084439217395, -114.05895266214333 51.049062232836484, -114.05895296515729 51.04905825922417, -114.05902044227099 51.04906012380131, -114.0590201760697 51.04906388164176, -114.0591574283527 51.04906794573217, -114.05915543729496 51.04909586703498, -114.05908594837341 51.049093363484204, -114.05901647230992 51.04909087157229, -114.05898808629334 51.04946891920442, -114.05898465722179 51.049514588746455, -114.05890116224938 51.049512041810665",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.05890116224938 51.049512041810665, -114.0588444111676 51.04951030481318, -114.05884396599042 51.04949664065279, -114.0588916104926 51.04946896605554, -114.05892299246973 51.04945073705321, -114.05895096606179 51.049084439217395, -114.05895266214333 51.049062232836484, -114.05895296515729 51.04905825922417, -114.05902044227099 51.04906012380131, -114.0590201760697 51.04906388164176, -114.0591574283527 51.04906794573217, -114.05915543729496 51.04909586703498, -114.05908594837341 51.049093363484204, -114.05901647230992 51.04909087157229, -114.05898808629334 51.04946891920442, -114.05898465722179 51.049514588746455, -114.05890116224938 51.049512041810665"
,,"MULTIPOLYGON (((-114.06835126555507 51.050560257068554, -114.06842674351486 51.05056497026909, -114.06844939911225 51.05057447172912, -114.06840642683922 51.05086229934028, -114.06842341302813 51.05086585741974, -114.06841041794934 51.051009766247724, -114.06833305090748 51.05100505414126, -114.06831997152284 51.051091878254404, -114.06812938823892 51.05108247567074, -114.06812189457374 51.05111934779759, -114.06796906074965 51.05111824743049, -114.06798031131595 51.05107066996244, -114.06803503661007 51.05107539548359, -114.06814443344642 51.05104916716252, -114.06815184155808 51.050954021890206, -114.06831222257539 51.05095511760761, -114.06832712379496 51.05082310018215, -114.0678440955164 51.050821002866186, -114.06783529821855 51.05080915771671, -114.06777039216317 51.050808957139935, -114.06777230474728 51.05075519747551, -114.06773078988869 51.05075446909941, -114.06773154077668 51.05074906943543, -114.06783898867661 51.05075207082109, -114.06784020872915 51.0507437024769, -114.06796287949683 51.050762659764985, -114.06797232804587 51.05077216809673, -114.06815536057887 51.05078038689816, -114.06833083847204 51.05078385156823, -114.06834377039952 51.0505959398732, -114.0681739577792 51.05059603904139, -114.06817011934652 51.050552038372565, -114.06835126555507 51.050560257068554",,,2024-05-22,,"-114.06835126555507 51.050560257068554, -114.06842674351486 51.05056497026909, -114.06844939911225 51.05057447172912, -114.06840642683922 51.05086229934028, -114.06842341302813 51.05086585741974, -114.06841041794934 51.051009766247724, -114.06833305090748 51.05100505414126, -114.06831997152284 51.051091878254404, -114.06812938823892 51.05108247567074, -114.06812189457374 51.05111934779759, -114.06796906074965 51.05111824743049, -114.06798031131595 51.05107066996244, -114.06803503661007 51.05107539548359, -114.06814443344642 51.05104916716252, -114.06815184155808 51.050954021890206, -114.06831222257539 51.05095511760761, -114.06832712379496 51.05082310018215, -114.0678440955164 51.050821002866186, -114.06783529821855 51.05080915771671, -114.06777039216317 51.050808957139935, -114.06777230474728 51.05075519747551, -114.06773078988869 51.05075446909941, -114.06773154077668 51.05074906943543, -114.06783898867661 51.05075207082109, -114.06784020872915 51.0507437024769, -114.06796287949683 51.050762659764985, -114.06797232804587 51.05077216809673, -114.06815536057887 51.05078038689816, -114.06833083847204 51.05078385156823, -114.06834377039952 51.0505959398732, -114.0681739577792 51.05059603904139, -114.06817011934652 51.050552038372565, -114.06835126555507 51.050560257068554"
Open to Sky,,"MULTIPOLYGON (((-114.07087390636438 51.04940319006745, -114.07087214510548 51.0494256879278, -114.07082872094578 51.04942446827375, -114.0708266368937 51.04945415361581, -114.07071213393208 51.04945049939891, -114.07071449939694 51.04939858319216, -114.07087390636438 51.04940319006745",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07087390636438 51.04940319006745, -114.07087214510548 51.0494256879278, -114.07082872094578 51.04942446827375, -114.0708266368937 51.04945415361581, -114.07071213393208 51.04945049939891, -114.07071449939694 51.04939858319216, -114.07087390636438 51.04940319006745"
Enclosed,,"MULTIPOLYGON (((-114.0679440500576 51.04904988601715, -114.06793721081362 51.04900558052366, -114.06787793545081 51.04900370913961, -114.0678825405028 51.04894703162531, -114.06803952384506 51.04895155837129, -114.06815046060187 51.04888767296529, -114.06862808629405 51.04890131859066, -114.06872242304762 51.04894174840219, -114.06871997179844 51.04896609672336, -114.06871706751588 51.04900620340457, -114.06871273358678 51.04902952260937, -114.0683849141728 51.049019858529334, -114.06837145969017 51.04920116673186, -114.06836175353816 51.04934300153966, -114.06832509132822 51.04934674472367, -114.06832268362973 51.049334931831545, -114.06831374324149 51.04927224359795, -114.0683333888712 51.04925652706048, -114.06832080412984 51.049174169635435, -114.06834052159702 51.049159810503355, -114.0683358922257 51.0491288435986, -114.06832648259049 51.04906805966243, -114.06830305854528 51.049055316929525, -114.06817355802231 51.049063698143534, -114.06814883910278 51.049051001083605, -114.0680621917839 51.0490566782419, -114.06803898181185 51.04904398028004, -114.06797181485094 51.0491188084995, -114.06796969124026 51.049145116374184, -114.06795078634669 51.049161253139424, -114.06796314036812 51.04924233419724, -114.06794283364282 51.049256635174714, -114.06789913643404 51.04936406263695, -114.06787267590232 51.049351275734715, -114.06785929679607 51.04926156512579, -114.06787871487538 51.049247161297046, -114.06786636100134 51.04916608112929, -114.06788678988462 51.049149501197995, -114.06787427783064 51.0490685002312, -114.0678938511157 51.049053008552285, -114.0679440500576 51.04904988601715",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0679440500576 51.04904988601715, -114.06793721081362 51.04900558052366, -114.06787793545081 51.04900370913961, -114.0678825405028 51.04894703162531, -114.06803952384506 51.04895155837129, -114.06815046060187 51.04888767296529, -114.06862808629405 51.04890131859066, -114.06872242304762 51.04894174840219, -114.06871997179844 51.04896609672336, -114.06871706751588 51.04900620340457, -114.06871273358678 51.04902952260937, -114.0683849141728 51.049019858529334, -114.06837145969017 51.04920116673186, -114.06836175353816 51.04934300153966, -114.06832509132822 51.04934674472367, -114.06832268362973 51.049334931831545, -114.06831374324149 51.04927224359795, -114.0683333888712 51.04925652706048, -114.06832080412984 51.049174169635435, -114.06834052159702 51.049159810503355, -114.0683358922257 51.0491288435986, -114.06832648259049 51.04906805966243, -114.06830305854528 51.049055316929525, -114.06817355802231 51.049063698143534, -114.06814883910278 51.049051001083605, -114.0680621917839 51.0490566782419, -114.06803898181185 51.04904398028004, -114.06797181485094 51.0491188084995, -114.06796969124026 51.049145116374184, -114.06795078634669 51.049161253139424, -114.06796314036812 51.04924233419724, -114.06794283364282 51.049256635174714, -114.06789913643404 51.04936406263695, -114.06787267590232 51.049351275734715, -114.06785929679607 51.04926156512579, -114.06787871487538 51.049247161297046, -114.06786636100134 51.04916608112929, -114.06788678988462 51.049149501197995, -114.06787427783064 51.0490685002312, -114.0678938511157 51.049053008552285, -114.0679440500576 51.04904988601715"
Open to Sky,,"MULTIPOLYGON (((-114.07933571043802 51.049301587917974, -114.07933989175709 51.04924380720012, -114.07935699827111 51.049007996818375, -114.07941946580523 51.04900979638505, -114.07942251975105 51.048969205686824, -114.07955010290219 51.04897265098809, -114.0795409239854 51.04908676385492, -114.07952799796169 51.04925059156473, -114.07958094141938 51.04925225458826, -114.07957986649168 51.04926582081945, -114.07967345892125 51.049268759628745, -114.07967285986699 51.04927621252146, -114.07989145145434 51.04928306631319, -114.07989203780947 51.04927571321401, -114.07998600110618 51.04927866050927, -114.07998717345792 51.04926376372796, -114.08003705044536 51.04926532975634, -114.08004998870673 51.049101367135954, -114.08025542674096 51.049106342310864, -114.08024357701056 51.04927173267448, -114.0802973047104 51.04927326897895, -114.08029628667033 51.04928744647914, -114.08038980883745 51.04929011507126, -114.08038927978176 51.0492975679195, -114.08060805590493 51.04930380085193, -114.08060858506602 51.04929642891017, -114.08070221992318 51.04929908818487, -114.08070322222949 51.04928495564065, -114.08075590877024 51.04928645649427, -114.08076226363781 51.04919771989291, -114.08084219452586 51.04919989229067, -114.08083215554714 51.049344126832, -114.07933571043802 51.049301587917974",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07933571043802 51.049301587917974, -114.07933989175709 51.04924380720012, -114.07935699827111 51.049007996818375, -114.07941946580523 51.04900979638505, -114.07942251975105 51.048969205686824, -114.07955010290219 51.04897265098809, -114.0795409239854 51.04908676385492, -114.07952799796169 51.04925059156473, -114.07958094141938 51.04925225458826, -114.07957986649168 51.04926582081945, -114.07967345892125 51.049268759628745, -114.07967285986699 51.04927621252146, -114.07989145145434 51.04928306631319, -114.07989203780947 51.04927571321401, -114.07998600110618 51.04927866050927, -114.07998717345792 51.04926376372796, -114.08003705044536 51.04926532975634, -114.08004998870673 51.049101367135954, -114.08025542674096 51.049106342310864, -114.08024357701056 51.04927173267448, -114.0802973047104 51.04927326897895, -114.08029628667033 51.04928744647914, -114.08038980883745 51.04929011507126, -114.08038927978176 51.0492975679195, -114.08060805590493 51.04930380085193, -114.08060858506602 51.04929642891017, -114.08070221992318 51.04929908818487, -114.08070322222949 51.04928495564065, -114.08075590877024 51.04928645649427, -114.08076226363781 51.04919771989291, -114.08084219452586 51.04919989229067, -114.08083215554714 51.049344126832, -114.07933571043802 51.049301587917974"
Enclosed,,"MULTIPOLYGON (((-114.07933989175709 51.04924380720012, -114.07933571043802 51.049301587917974, -114.07904582598228 51.04929316137366, -114.07904895039714 51.04925187393571, -114.07898416201544 51.04925001191229, -114.07898142401463 51.049291282006934, -114.07879056723937 51.04928572661373, -114.07876135612126 51.04926744321542, -114.07876192916918 51.04926054770805, -114.07873130703126 51.04925961542767, -114.07872395438824 51.049255071577825, -114.07872606173973 51.04922612862865, -114.07883611689249 51.049229196359654, -114.07915926507097 51.049030633089544, -114.07920333805845 51.04903188606691, -114.07919025790142 51.04921474240213, -114.07921818068937 51.04924019497564, -114.07924132092485 51.04924109983807, -114.07933989175709 51.04924380720012",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07933989175709 51.04924380720012, -114.07933571043802 51.049301587917974, -114.07904582598228 51.04929316137366, -114.07904895039714 51.04925187393571, -114.07898416201544 51.04925001191229, -114.07898142401463 51.049291282006934, -114.07879056723937 51.04928572661373, -114.07876135612126 51.04926744321542, -114.07876192916918 51.04926054770805, -114.07873130703126 51.04925961542767, -114.07872395438824 51.049255071577825, -114.07872606173973 51.04922612862865, -114.07883611689249 51.049229196359654, -114.07915926507097 51.049030633089544, -114.07920333805845 51.04903188606691, -114.07919025790142 51.04921474240213, -114.07921818068937 51.04924019497564, -114.07924132092485 51.04924109983807, -114.07933989175709 51.04924380720012"
Enclosed,,"MULTIPOLYGON (((-114.06342651936794 51.04924029567202, -114.06334868832063 51.04923791874544, -114.06334124323693 51.049237689047395, -114.06334379153907 51.04920295046134, -114.06318503346579 51.0491983140873, -114.06318998288658 51.04913370224132, -114.0631682325133 51.04913307482849, -114.06317176674499 51.04907863921992, -114.06331460491256 51.049082016685205, -114.06331530772577 51.04907447302418, -114.06347271106911 51.04907848067607, -114.06346808131278 51.04912520370257, -114.0634705330678 51.04912529226852, -114.06346445400591 51.04920624896307, -114.06343779716403 51.04920540042017, -114.06343574728874 51.04924058732515, -114.06342651936794 51.04924029567202",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06342651936794 51.04924029567202, -114.06334868832063 51.04923791874544, -114.06334124323693 51.049237689047395, -114.06334379153907 51.04920295046134, -114.06318503346579 51.0491983140873, -114.06318998288658 51.04913370224132, -114.0631682325133 51.04913307482849, -114.06317176674499 51.04907863921992, -114.06331460491256 51.049082016685205, -114.06331530772577 51.04907447302418, -114.06347271106911 51.04907848067607, -114.06346808131278 51.04912520370257, -114.0634705330678 51.04912529226852, -114.06346445400591 51.04920624896307, -114.06343779716403 51.04920540042017, -114.06343574728874 51.04924058732515, -114.06342651936794 51.04924029567202"
Enclosed,,"MULTIPOLYGON (((-114.07893224887945 51.04739175397356, -114.07892352038324 51.047391465004566, -114.07892592147581 51.047360939651504, -114.07885647918955 51.04735896653027, -114.07885976708108 51.04730558508845, -114.07894071600427 51.04730791272298, -114.07920068201433 51.047150857059975, -114.07915070982929 51.04711802445429, -114.07918158280684 51.047099610553445, -114.07923627789368 51.04713467838742, -114.07923850169479 51.047133272683844, -114.07930656498394 51.04709288600162, -114.07930904963523 51.047065515978026, -114.07940375233163 51.04706815129601, -114.07940207739505 51.04709112479302, -114.07901235610507 51.04732257870735, -114.0790078946389 51.04739354575891, -114.07893224887945 51.04739175397356",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07893224887945 51.04739175397356, -114.07892352038324 51.047391465004566, -114.07892592147581 51.047360939651504, -114.07885647918955 51.04735896653027, -114.07885976708108 51.04730558508845, -114.07894071600427 51.04730791272298, -114.07920068201433 51.047150857059975, -114.07915070982929 51.04711802445429, -114.07918158280684 51.047099610553445, -114.07923627789368 51.04713467838742, -114.07923850169479 51.047133272683844, -114.07930656498394 51.04709288600162, -114.07930904963523 51.047065515978026, -114.07940375233163 51.04706815129601, -114.07940207739505 51.04709112479302, -114.07901235610507 51.04732257870735, -114.0790078946389 51.04739354575891, -114.07893224887945 51.04739175397356"
Open to Sky,,"MULTIPOLYGON (((-114.06150802574047 51.04879308509138, -114.06160608131108 51.04879591196068, -114.0616040496694 51.04882437450976, -114.06167038388442 51.04882602150703, -114.06164335097782 51.049190629448994, -114.06125457981126 51.04917834081361, -114.06124511310179 51.049169994317815, -114.06149312512461 51.049024797768325, -114.06150802574047 51.04879308509138",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06150802574047 51.04879308509138, -114.06160608131108 51.04879591196068, -114.0616040496694 51.04882437450976, -114.06167038388442 51.04882602150703, -114.06164335097782 51.049190629448994, -114.06125457981126 51.04917834081361, -114.06124511310179 51.049169994317815, -114.06149312512461 51.049024797768325, -114.06150802574047 51.04879308509138"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07131579360511 51.049100446623065, -114.07131999749305 51.049044375125824, -114.07169196800221 51.04905283613596, -114.07169208143216 51.04905887176965, -114.0717168625516 51.04905949843371, -114.0717133120063 51.049109812522666, -114.07133588087332 51.049100908123805, -114.07131579360511 51.049100446623065",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07131579360511 51.049100446623065, -114.07131999749305 51.049044375125824, -114.07169196800221 51.04905283613596, -114.07169208143216 51.04905887176965, -114.0717168625516 51.04905949843371, -114.0717133120063 51.049109812522666, -114.07133588087332 51.049100908123805, -114.07131579360511 51.049100446623065"
Open to Sky,,"MULTIPOLYGON (((-114.0636335153572 51.04783619526313, -114.06364259185742 51.04770746188976, -114.0641456990871 51.047723946416205, -114.0641431459283 51.04775674145185, -114.06414117145432 51.04778206840139, -114.06407435319936 51.04778002302872, -114.06404939440529 51.047779257298856, -114.06404428266241 51.04784825807133, -114.0636335153572 51.04783619526313",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0636335153572 51.04783619526313, -114.06364259185742 51.04770746188976, -114.0641456990871 51.047723946416205, -114.0641431459283 51.04775674145185, -114.06414117145432 51.04778206840139, -114.06407435319936 51.04778002302872, -114.06404939440529 51.047779257298856, -114.06404428266241 51.04784825807133, -114.0636335153572 51.04783619526313"
Bridge Enclosed,,"MULTIPOLYGON (((-114.05895266214333 51.049062232836484, -114.05895096606179 51.049084439217395, -114.05888678895523 51.04908243359685, -114.05888495411457 51.04910771003848, -114.05877337694074 51.04910540729264, -114.05877568414691 51.04905777855722, -114.05895266214333 51.049062232836484",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.05895266214333 51.049062232836484, -114.05895096606179 51.049084439217395, -114.05888678895523 51.04908243359685, -114.05888495411457 51.04910771003848, -114.05877337694074 51.04910540729264, -114.05877568414691 51.04905777855722, -114.05895266214333 51.049062232836484"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07165595523215 51.04533618621074, -114.07134049557925 51.04532660824377, -114.07134026984701 51.04533005414645, -114.07092130825336 51.04531771180485, -114.07092109739723 51.04532064708079, -114.07082657424941 51.045318072204, -114.0708305960366 51.045273343145226, -114.07132741920795 51.045288123084205, -114.07132787601256 51.04528377896614, -114.07134349544077 51.04528443107747, -114.07165597652278 51.04529360093063, -114.07165595523215 51.04533618621074",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.07165595523215 51.04533618621074, -114.07134049557925 51.04532660824377, -114.07134026984701 51.04533005414645, -114.07092130825336 51.04531771180485, -114.07092109739723 51.04532064708079, -114.07082657424941 51.045318072204, -114.0708305960366 51.045273343145226, -114.07132741920795 51.045288123084205, -114.07132787601256 51.04528377896614, -114.07134349544077 51.04528443107747, -114.07165597652278 51.04529360093063, -114.07165595523215 51.04533618621074"
Enclosed,,"MULTIPOLYGON (((-114.06382904770194 51.048659311372084, -114.06371443500684 51.0486559641014, -114.06367914982708 51.04865494052207, -114.0636822609098 51.04861479969082, -114.06364516581267 51.048613685392105, -114.06364885089958 51.04856569621613, -114.06368781492536 51.04856625932396, -114.06369062956433 51.04851795598008, -114.06369835686829 51.04851814954315, -114.06376165715186 51.04851973407887, -114.06389469878293 51.04852424888481, -114.06389436942035 51.04854504230648, -114.06397590757264 51.048547542696944, -114.06397183390295 51.04859998201161, -114.06396875378627 51.04863964278227, -114.06396690960355 51.04866336408826, -114.06382904770194 51.048659311372084",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06382904770194 51.048659311372084, -114.06371443500684 51.0486559641014, -114.06367914982708 51.04865494052207, -114.0636822609098 51.04861479969082, -114.06364516581267 51.048613685392105, -114.06364885089958 51.04856569621613, -114.06368781492536 51.04856625932396, -114.06369062956433 51.04851795598008, -114.06369835686829 51.04851814954315, -114.06376165715186 51.04851973407887, -114.06389469878293 51.04852424888481, -114.06389436942035 51.04854504230648, -114.06397590757264 51.048547542696944, -114.06397183390295 51.04859998201161, -114.06396875378627 51.04863964278227, -114.06396690960355 51.04866336408826, -114.06382904770194 51.048659311372084"
Enclosed,,"MULTIPOLYGON (((-114.0605479636662 51.048800988510145, -114.06055146484009 51.04875167714027, -114.06062206931358 51.04875362906989, -114.06061756025308 51.048756228540846, -114.06061238504276 51.04883522576087, -114.0606028192017 51.04882727481201, -114.06054620885124 51.04882568510033, -114.0605479636662 51.048800988510145",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.0605479636662 51.048800988510145, -114.06055146484009 51.04875167714027, -114.06062206931358 51.04875362906989, -114.06061756025308 51.048756228540846, -114.06061238504276 51.04883522576087, -114.0606028192017 51.04882727481201, -114.06054620885124 51.04882568510033, -114.0605479636662 51.048800988510145"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06870918119441 51.04676632523773, -114.06893500440243 51.04655050254114, -114.06903276884724 51.046553197495705, -114.06881244797506 51.04676702951229, -114.06870918119441 51.04676632523773",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06870918119441 51.04676632523773, -114.06893500440243 51.04655050254114, -114.06903276884724 51.046553197495705, -114.06881244797506 51.04676702951229, -114.06870918119441 51.04676632523773"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07398503408164 51.048106769166154, -114.07405539154718 51.04810880303498, -114.07404833830522 51.04820308279493, -114.07397825068385 51.048200430257694, -114.07398503408164 51.048106769166154",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07398503408164 51.048106769166154, -114.07405539154718 51.04810880303498, -114.07404833830522 51.04820308279493, -114.07397825068385 51.048200430257694, -114.07398503408164 51.048106769166154"
